"Terms searched for in 15 second clip: (""war crime"" OR ""war crimes"" OR ""genoicde"" OR ""genocidal"") AND (""palestinians"" OR ""gaza"" OR ""gazan"" OR ""gazans"" OR ""israel"" OR ""israelis"" OR ""israeli"" OR ""palestinian"")",,,,,,,
,,,,,,,
URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet,ABOUT PALESTINIANS?
https://archive.org/details/CNNW_20231008_220000_CNN_Newsroom_With_Jim_Acosta#start/1562/end/1597,10/8/2023 22:26:17,CNN,CNN Newsroom With Jim Acosta,CNNW_20231008_220000_CNN_Newsroom_With_Jim_Acosta,https://archive.org/download/CNNW_20231008_220000_CNN_Newsroom_With_Jim_Acosta/CNNW_20231008_220000_CNN_Newsroom_With_Jim_Acosta.thumbs/CNNW_20231008_220000_CNN_Newsroom_With_Jim_Acosta_001558.jpg,"life in israel and try to kill as many civilians they can. they fire towards our airports, our residential homes and our cities. they trying deliberately to kill civilians and these are clear war crimes, crimes against",N/A
https://archive.org/details/MSNBCW_20231010_030000_The_11th_Hour_With_Stephanie_Ruhle#start/2655/end/2690,10/10/2023 3:44:30,MSNBC,The 11th Hour With Stephanie Ruhle,MSNBCW_20231010_030000_The_11th_Hour_With_Stephanie_Ruhle,https://archive.org/download/MSNBCW_20231010_030000_The_11th_Hour_With_Stephanie_Ruhle/MSNBCW_20231010_030000_The_11th_Hour_With_Stephanie_Ruhle.thumbs/MSNBCW_20231010_030000_The_11th_Hour_With_Stephanie_Ruhle_002637.jpg,"stephanie, it's a genocidal ideology that objectifies jews and creates the conditions with which people so dehumanize women, they drag the bleeding from the crash through gaza like trophies, hauling bodies",N/A
https://archive.org/details/MSNBCW_20231010_060000_The_11th_Hour_With_Stephanie_Ruhle#start/2580/end/2615,10/10/2023 6:43:15,MSNBC,The 11th Hour With Stephanie Ruhle,MSNBCW_20231010_060000_The_11th_Hour_With_Stephanie_Ruhle,https://archive.org/download/MSNBCW_20231010_060000_The_11th_Hour_With_Stephanie_Ruhle/MSNBCW_20231010_060000_The_11th_Hour_With_Stephanie_Ruhle.thumbs/MSNBCW_20231010_060000_The_11th_Hour_With_Stephanie_Ruhle_002578.jpg,"means necessary, that happened, to the people marching in cities saying that zionism, is racism, or whatever, anti-zionism isn't antisemitism, stephanie, it's a genocidal ideology that objectifies jews and creates the conditions with which people so dehumanize women, they drag the bleeding from the crash through gaza like trophies, hauling bodies from the backs of jeeps.",N/A
https://archive.org/details/MSNBCW_20231010_170000_Chris_Jansing_Reports#start/1533/end/1568,10/10/2023 17:25:48,MSNBC,Chris Jansing Reports,MSNBCW_20231010_170000_Chris_Jansing_Reports,https://archive.org/download/MSNBCW_20231010_170000_Chris_Jansing_Reports/MSNBCW_20231010_170000_Chris_Jansing_Reports.thumbs/MSNBCW_20231010_170000_Chris_Jansing_Reports_001528.jpg,this is a murderous genocidal organization that will stop nothing in its quest to murder jews and draw israel off the map. israel will do whatever it must. its leadership will do whatever it must to target hamas',N/A
https://archive.org/details/CNNW_20231010_180000_CNN_News_Central#start/2468/end/2503,10/10/2023 18:41:23,CNN,CNN News Central,CNNW_20231010_180000_CNN_News_Central,https://archive.org/download/CNNW_20231010_180000_CNN_News_Central/CNNW_20231010_180000_CNN_News_Central.thumbs/CNNW_20231010_180000_CNN_News_Central_002458.jpg,"is. and that is when you see a gen genocidal regime that came into this country through a border that we have with them -- because people forget, israel left gaza in 2005. we left gaza, and we pulled out",N/A
https://archive.org/details/CNNW_20231011_020000_CNN_NewsNight_with_Abby_Phillip#start/2243/end/2278,10/11/2023 2:37:38,CNN,CNN NewsNight with Abby Phillip,CNNW_20231011_020000_CNN_NewsNight_with_Abby_Phillip,https://archive.org/download/CNNW_20231011_020000_CNN_NewsNight_with_Abby_Phillip/CNNW_20231011_020000_CNN_NewsNight_with_Abby_Phillip.thumbs/CNNW_20231011_020000_CNN_NewsNight_with_Abby_Phillip_002218.jpg,"people, against the jewish state. let's be real clear about what it is. and so, in the middle east, we now have a genocidal war, in ukraine, we have a land war in",N/A
https://archive.org/details/CNNW_20231013_200000_The_Lead_With_Jake_Tapper#start/2279/end/2314,10/13/2023 20:38:14,CNN,The Lead With Jake Tapper,CNNW_20231013_200000_The_Lead_With_Jake_Tapper,https://archive.org/download/CNNW_20231013_200000_The_Lead_With_Jake_Tapper/CNNW_20231013_200000_The_Lead_With_Jake_Tapper.thumbs/CNNW_20231013_200000_The_Lead_With_Jake_Tapper_002278.jpg,"not only for israel, we are fighting against a jihadist genocidal terrorist organization like isis and exactly like the nazis. so lastly, sir, there's been talk of trying to open the rafah",N/A
https://archive.org/details/CNNW_20231014_020000_CNN_NewsNight_with_Abby_Phillip#start/3311/end/3346,10/14/2023 2:55:26,CNN,CNN NewsNight with Abby Phillip,CNNW_20231014_020000_CNN_NewsNight_with_Abby_Phillip,https://archive.org/download/CNNW_20231014_020000_CNN_NewsNight_with_Abby_Phillip/CNNW_20231014_020000_CNN_NewsNight_with_Abby_Phillip.thumbs/CNNW_20231014_020000_CNN_NewsNight_with_Abby_Phillip_003297.jpg,"barbarous murderous, genocidal actions, killing israelis, babies, children, indiscriminately that the reaction in the arab street as we saw today has been jubilation, has been",N/A
https://archive.org/details/MSNBCW_20231016_000000_NBC_News_Special_Report_Israel-Hamas_War#start/6089/end/6124,10/16/2023 1:41:44,MSNBC,NBC News Special Report Israel-Hamas War,MSNBCW_20231016_000000_NBC_News_Special_Report_Israel-Hamas_War,https://archive.org/download/MSNBCW_20231016_000000_NBC_News_Special_Report_Israel-Hamas_War/MSNBCW_20231016_000000_NBC_News_Special_Report_Israel-Hamas_War.thumbs/MSNBCW_20231016_000000_NBC_News_Special_Report_Israel-Hamas_War_006087.jpg,"called for genocidal tactics the knots is used as they murdered 6 million jews. in berlin, germany according to combat antisemitism, some jewish homes were marked with stars of david this weekend. and in california on wednesday,",N/A
https://archive.org/details/MSNBCW_20231016_040000_NBC_News_Special_Report_Israel-Hamas_War#start/6078/end/6113,10/16/2023 5:41:33,MSNBC,NBC News Special Report Israel-Hamas War,MSNBCW_20231016_040000_NBC_News_Special_Report_Israel-Hamas_War,https://archive.org/download/MSNBCW_20231016_040000_NBC_News_Special_Report_Israel-Hamas_War/MSNBCW_20231016_040000_NBC_News_Special_Report_Israel-Hamas_War.thumbs/MSNBCW_20231016_040000_NBC_News_Special_Report_Israel-Hamas_War_006058.jpg,"many happening across the country. over the past week we've heard calls for peace. but we've also heard chants like this. right side of australia's sydney opera house, in a pro palestinian crowd monday, some called for genocidal tactics the knots is used as they murdered 6 million jews.",N/A
