"Terms searched for in same 15 second clip: (""palestinian"" OR ""gazan"" OR ""gaza"" OR ""gazans"" OR ""palestinians"" OR ""israeli"" OR ""israel"" OR ""israelis"") AND (""massacring"" OR ""massacre"" OR ""massacres"" OR ""brutal"" OR ""slaughter"" OR ""slaughters"" OR ""slaughtering"" OR ""barbaric"" OR ""savage"")",,,,,,
,,,,,,
,,,,,,
URL,MatchDateTime,Day,Station,Show,Snippet,Victim
https://archive.org/details/CNNW_20231009_090000_Early_Start_With_Kasie_Hunt#start/3000/end/3035,10/9/2023 9:50:15,10/9/2023,CNN,Early Start With Kasie Hunt,"hamas publicly thanked iran for their funding, their training, their contributions for this horrific attack on israeli civilians. iran is russia's partner in their brutal war in ukraine. it is iran providing the drones",N/A
https://archive.org/details/CNNW_20231009_030000_The_Whole_Story_With_Anderson_Cooper#start/1514/end/1549,10/9/2023 3:25:29,10/9/2023,CNN,The Whole Story With Anderson Cooper,"scale ground incursion. in previous rounds we have had seem deep incursions, haven't gone all the way into gaza, back in 2014, they went several kilometers into gaza. this would be a brutal battle.",N/A
https://archive.org/details/MSNBCW_20231010_230000_The_ReidOut#start/1595/end/1630,10/10/2023 23:26:50,10/10/2023,MSNBC,The ReidOut,"blaming israel for the massacre in the gaza strip. how dare you? how dare they do that? they put pictures of the missiles falling on gaza strip,",N/A
https://archive.org/details/MSNBCW_20231010_060000_The_11th_Hour_With_Stephanie_Ruhle#start/3169/end/3204,10/10/2023 6:53:04,10/10/2023,MSNBC,The 11th Hour With Stephanie Ruhle,"have raised the front lines tonight, risking their lives to save others as the brutal war between hamas and israel rages on. i want to bring in one of those brave responders, his chief of staff in the national paramedic service of israel. thank you for everything you're doing. tell us what the last two days have been like for you and your",N/A
https://archive.org/details/MSNBCW_20231010_030000_The_11th_Hour_With_Stephanie_Ruhle#start/3218/end/3253,10/10/2023 3:53:53,10/10/2023,MSNBC,The 11th Hour With Stephanie Ruhle,"have raised the front lines tonight, risking their lives to save others as the brutal war between hamas and israel rages on. i want to bring in one of those brave responders, his chief of staff in the national paramedic service of israel. thank you for everything you're",N/A
https://archive.org/details/MSNBCW_20231011_200000_Deadline_White_House#start/160/end/195,10/11/2023 20:02:55,10/11/2023,MSNBC,Deadline White House,"them one by one in response to any action by israel. 'new york times' reports,quote, there's no recent precedent to the scale of the hostage situation in the gaza strip. no modern government, not even the world's most brutal, like those in where you area or north",N/A
https://archive.org/details/CNNW_20231011_180000_CNN_News_Central#start/2619/end/2654,10/11/2023 18:43:54,10/11/2023,CNN,CNN News Central,zpe as a military organization. which would be an operation on a scale we have not seen in many years. i've been reporting from this region for a couple of decades. and i've been in gaza many times and seen israeli incursions. some of them absolutely brutal. but i think what we're looking at now is an operation on a,N/A
https://archive.org/details/CNNW_20231011_080000_CNN_Newsroom_Live#start/1004/end/1039,10/11/2023 8:16:59,10/11/2023,CNN,CNN Newsroom Live,"by the israelis and i think we have to accept that will be pretty bloody and brutal and it will be a very bad time coming ahead, but there is also the palestinian authority. there are palestinian actors on the ground who are not hamas and who do need to be engaged and we",N/A
https://archive.org/details/CNNW_20231012_160000_Inside_Politics_With_Dana_Bash#start/3196/end/3231,10/12/2023 16:53:31,10/12/2023,CNN,Inside Politics With Dana Bash,"murder of israeli civilians can't be attenuated if there is the brutal murder of palestinian civilians. no civilian is lesser or more worthy of our moral acknowledgment. however, the practical situation",N/A
https://archive.org/details/CNNW_20231012_160000_Inside_Politics_With_Dana_Bash#start/3180/end/3215,10/12/2023 16:53:15,10/12/2023,CNN,Inside Politics With Dana Bash,"because -- and palestinian civilians in gaza. well, right. right. absolutely. and we need to be 100% clear here, dana. our moral standing when we condemn unconditionally the brutal murder and the deliberate",N/A
https://archive.org/details/CNNW_20231012_160000_Inside_Politics_With_Dana_Bash#start/3032/end/3067,10/12/2023 16:50:47,10/12/2023,CNN,Inside Politics With Dana Bash,"isis, as another brutal sect, that should be utterly rejected by the palestinian people. and they also have a choice to make about how they tolerate the activities of hamas, or do they want to engage and try to restore some semblance of",N/A
